Nick,Data,Komentarz
Gość,29.03.2019 22:00,"Szkoda, koniec cotygodniowej dramy :D"
Gość,29.03.2019 22:00,No to czekamy jaki następny pomysł na siebie będzie miała ta Pani.
M,29.03.2019 22:00,Nareszcie. Widać że to nie była jej bajka zestresowana na Maxa.
Gość,29.03.2019 22:08,Najcudowniejszy dzień!! ☺️☺️☺️ W końcu!
gość,29.03.2019 22:08,"Gość: I tak długo wytrzymała.Nie ona wytrzymała , tylko my tak długo wytrzymalismy !"
Gość,29.03.2019 22:08,"Jan: Tamara zatanczyla gorzej niż Mazur, a zdobyla tyle punktów... No, ale byla w szkole dyskryminowana ze względu na kolor skóry, więc pewnie wygra ten program.A ja byłam dyskryminowana za wzrost ...i pomógł chorej koleżance bo ja dyskryminacja objęła to na mnie się zdenerwowano"
Gość,29.03.2019 22:09,W końcu
Gość,29.03.2019 22:09,Ja tylko dla niej oglądałam ten program. Teraz to będzie nuda
Gość,29.03.2019 22:00,I tak długo wytrzymała.
Gość,29.03.2019 21:59,No w końcu...
Gość,29.03.2019 22:00,"Szkoda, koniec cotygodniowej dramy :D"
Gość,29.03.2019 22:00,No to czekamy jaki następny pomysł na siebie będzie miała ta Pani.
M,29.03.2019 22:00,Nareszcie. Widać że to nie była jej bajka zestresowana na Maxa.
Gość,29.03.2019 22:15,"Chodilam z niom do klasy , gupia byla jak but"
gość,29.03.2019 22:16,NAreszcie ZYLA odpadla ! SUPER!
Gość,29.03.2019 22:16,Gość: No to nie ma po co tego dalej oglądać. Ona była jak 80 % nas. Teraz nie ma na co patrzeć bo zygac się chce od SEPLENIACEJ RADWAŃSKIEJ czy tej całej TamaryNo tak Ona byla i jest taka jak my ...poradziła sobie przegrywać też trzeba umieć i Ona umie ...z klasą
gość,29.03.2019 22:16,"Eee, szkoda jej :( Powinien odpasc ten misterekszkoda byłoby Lenki :)"
gość,29.03.2019 22:16,"Wreszcie ,nareszcie."
Gość,29.03.2019 22:00,I tak długo wytrzymała.
Gość,29.03.2019 21:59,No w końcu...
Gość,29.03.2019 22:00,"Szkoda, koniec cotygodniowej dramy :D"
Gość,29.03.2019 22:00,No to czekamy jaki następny pomysł na siebie będzie miała ta Pani.
M,29.03.2019 22:00,Nareszcie. Widać że to nie była jej bajka zestresowana na Maxa.
Gość,29.03.2019 22:20,Nareszcie odpadła. Na kogo będziemy patrzeć? I krytykować?  Nie oglądamy. 😣
gość,29.03.2019 22:20,Nareszcie
Gość,29.03.2019 22:20,"Gość:Gość: Chodilam z niom do klasy , gupia byla jak butAle zdała do następnej w przeciwieństwie do ciebie tłukuI zrobiła większą karierę niż ty ha ha"
Gość,29.03.2019 22:21,Gość: I tak długo wytrzymała.Raczej dlugo ja trzymali
Gość,29.03.2019 22:21,"Wywalić pawlowic,  to przez nią"
Gość,29.03.2019 22:00,I tak długo wytrzymała.
Gość,29.03.2019 21:59,No w końcu...
Gość,29.03.2019 22:00,"Szkoda, koniec cotygodniowej dramy :D"
Gość,29.03.2019 22:00,No to czekamy jaki następny pomysł na siebie będzie miała ta Pani.
M,29.03.2019 22:00,Nareszcie. Widać że to nie była jej bajka zestresowana na Maxa.
Gość,29.03.2019 22:26,"Dla mnie to ta niewidoma jest czarnym koniem,....tegoż programu."
gość,29.03.2019 22:26,"Papa Justyna, możesz wracać do Wisły."
xxxx,29.03.2019 22:26,pawłowicz to małpa czarna tak bezczelnie ocenia i nie sprawiedliwie
Gość,29.03.2019 22:27,Macademian girl jest super
gość,29.03.2019 22:27,Powinna odpaść w pierwszym odcinku! A Radwańska jeszcze jest? Dziwne.
Gość,29.03.2019 22:00,I tak długo wytrzymała.
Gość,29.03.2019 21:59,No w końcu...
Gość,29.03.2019 22:00,"Szkoda, koniec cotygodniowej dramy :D"
Gość,29.03.2019 22:00,No to czekamy jaki następny pomysł na siebie będzie miała ta Pani.
M,29.03.2019 22:00,Nareszcie. Widać że to nie była jej bajka zestresowana na Maxa.
gość,29.03.2019 22:37,"Teraz musicie znalezc nowego KOZLA OFIARNEGO hejterzy,bo wy nie mozecie zyc,zeby komus nie dokopac,"
gość,29.03.2019 22:38,Wkoncu
Gość,29.03.2019 22:38,"Niemożliwe!!! Przecież wcześniejsze głosowania sugerowały, że mimo wszystko wygra ten program"
gość,29.03.2019 22:39,Przynajmniej będzie mieć łatwo w życiu bo jest wobec siebie bezkrytyczna. Bierze co jej dają mimo braku umiejętności i charyzmy. Inny człowiek miałby opory i poczucie obciachu.
gość,29.03.2019 22:39,"gość:Gość: Drygu do tańca brak,....jak ona tak funkcjonuje na co dzień w swoim życiu,to niedziwmy się ,ze rozwód był potrzebny....Czyzby taka ciamajda ....bez znanego męża z którego cienia juz wyszła szuka na siłę punktu zaczepienia....trochę to irytujace...teraz szuka pomysłu na siebie,...bo zależność finansowa która miała....inna jej zabrała ???????.słabe sa takie kobiety kiedy juz zostają z dziećmi same,..bo wie ,że spiac i ogarnąć musi się bez gwarantowanej jak dotychczas płynności finansowej kiedy wydawało sie kasę mezusia,...rozczaruje cie,ma juz nowy program hehe i reklameSuper, bo p.Justyna bardziej do reklam będzie się nadawała niż ten obłudnik Piotr."
Gość,29.03.2019 22:00,I tak długo wytrzymała.
Gość,29.03.2019 21:59,No w końcu...
Gość,29.03.2019 22:00,"Szkoda, koniec cotygodniowej dramy :D"
Gość,29.03.2019 22:00,No to czekamy jaki następny pomysł na siebie będzie miała ta Pani.
M,29.03.2019 22:00,Nareszcie. Widać że to nie była jej bajka zestresowana na Maxa.
Gość,29.03.2019 22:50,Najladniej tańczy Joanna i Tamara.Reszta to trochę tlo.
Gość,29.03.2019 22:51,"W końcu,szkoda tylko Tomka Barańskiego"
gość,29.03.2019 22:51,"Gość:gość:Gość: No w końcu...Pan Tomasz odetchnie ;))Tomek taki fajny zdolny facec a jak za kare mu taka panne nikt dali i to kołka drewnianego..to taki super tancerz..dajvie mu jakąś gwiazde nastepnym razem, zeby sie mogl wykazac !nie 1 raz on w tym programie tanczy i jakos z zadna nie wygral,czyzby tamte tez byly drewna???"
gość,29.03.2019 22:52,O wiele za późno.
Żal mi starszej pani Pavl,29.03.2019 22:52,PaniPawkowi
Gość,29.03.2019 22:00,I tak długo wytrzymała.
Gość,29.03.2019 21:59,No w końcu...
Gość,29.03.2019 22:00,"Szkoda, koniec cotygodniowej dramy :D"
Gość,29.03.2019 22:00,No to czekamy jaki następny pomysł na siebie będzie miała ta Pani.
M,29.03.2019 22:00,Nareszcie. Widać że to nie była jej bajka zestresowana na Maxa.
Gość,29.03.2019 23:03,"Gość: I tak długo wytrzymała.Ale dwa razy popuściła, raz w kiblu raz na scenie kleksa"
gość,29.03.2019 23:04,"Gość: W końcu,szkoda tylko Tomka BarańskiegoBardziej będzie rozpoznawalny niż dotychczas i kto wie może mu to zaprocentować ."
Gość,29.03.2019 23:04,"Gość: Kuczaj przyznał sie, że jest gejem czy jeszcze nie?Czeka na moment kiedy opowie o trudnym dzieciństwie itd"
gość,29.03.2019 23:04,"Gość: Ona nie była z tego świat ale moim zdaniem dała radę.. Tylko szkoda że nie umiała wyluzowac była za bardzo spietajaka miala byc jak wszyscy zamiast ja wspierac kibicowac to warczeli jak wsciekle psy na nia,"
Gość,29.03.2019 23:04,Nareszcie.
Gość,29.03.2019 22:00,I tak długo wytrzymała.
Gość,29.03.2019 21:59,No w końcu...
Gość,29.03.2019 22:00,"Szkoda, koniec cotygodniowej dramy :D"
Gość,29.03.2019 22:00,No to czekamy jaki następny pomysł na siebie będzie miała ta Pani.
M,29.03.2019 22:00,Nareszcie. Widać że to nie była jej bajka zestresowana na Maxa.
gośćzzzz,29.03.2019 23:18,Nareszcie!! Bogu dzieki 🥴
gośćzzzz,29.03.2019 23:20,Ale w sumie to teraz bedzie nudno bez tej nogi totalnej
Gość,29.03.2019 23:21,Wkoncu wielki czas
Gość,29.03.2019 23:21,"Eee, szkoda jej :( Powinien odpasc ten misterekPan przynajmniej nie pomyliła rytmu i kroków i co jak co to w tym odcinku byk czas na tego chłopaka którego imienia nie pamietam."
Gość,29.03.2019 23:22,Uff
Gość,29.03.2019 22:00,I tak długo wytrzymała.
Gość,29.03.2019 21:59,No w końcu...
Gość,29.03.2019 22:00,"Szkoda, koniec cotygodniowej dramy :D"
Gość,29.03.2019 22:00,No to czekamy jaki następny pomysł na siebie będzie miała ta Pani.
M,29.03.2019 22:00,Nareszcie. Widać że to nie była jej bajka zestresowana na Maxa.
Gość,29.03.2019 23:46,"Gość: Kuczaj przyznał sie, że jest gejem czy jeszcze nie?A jakie to ma znaczenie niby?"
gość,29.03.2019 23:46,nareszcie...
Gość,29.03.2019 23:47,No wkoncu.I tak za długo tam była
Gość,29.03.2019 23:50,Odpadła tylko dlatego że widzowie zaczęli marudzić
gość,29.03.2019 23:55,"Gość:Gość: Kuczaj przyznał sie, że jest gejem czy jeszcze nie?A jakie to ma znaczenie niby?przed kim się miał przyznać przed takim zerem jak ty???? Zainteresowani nim konkretnie samce dawno wiedzą że to gej."
Gość,29.03.2019 22:00,I tak długo wytrzymała.
Gość,29.03.2019 21:59,No w końcu...
Gość,29.03.2019 22:00,"Szkoda, koniec cotygodniowej dramy :D"
Gość,29.03.2019 22:00,No to czekamy jaki następny pomysł na siebie będzie miała ta Pani.
M,29.03.2019 22:00,Nareszcie. Widać że to nie była jej bajka zestresowana na Maxa.
Gość,30.03.2019 00:27,gość: żegnaj gienia świat się zmienia lecz nie ty  pa pa pa goodbyeI jak sie swiat nie zmieni to strzel patelnie Gieni.
hahahah,30.03.2019 00:28,jak pieknie
gość,30.03.2019 00:28,Oglądałam dla Justyny
Gość,30.03.2019 00:28,Gość: Chyba szybciej niż Polsat podaliscie te informacje.Dokładnie. Bardzo to dziwne 🤔
Dadir,30.03.2019 00:29,"Teraz przed żyłą program ""Gwiazdki ""  obciągają na MAXA"
Gość,29.03.2019 22:00,I tak długo wytrzymała.
Gość,29.03.2019 21:59,No w końcu...
Gość,29.03.2019 22:00,"Szkoda, koniec cotygodniowej dramy :D"
Gość,29.03.2019 22:00,No to czekamy jaki następny pomysł na siebie będzie miała ta Pani.
M,29.03.2019 22:00,Nareszcie. Widać że to nie była jej bajka zestresowana na Maxa.
gość,30.03.2019 01:14,Yay w końcu 😂😂😂
gość,30.03.2019 01:19,gość: Super do niczego sie nie nadaje zendaza to ty tylko do hejtowania sie nadajesz
GośćApostazy ,30.03.2019 01:25,Niiiieeeeeeeeee
Gość,30.03.2019 01:25,kto i dlaczego trzymal te nieudacznice a wogule kto i zaile wziol tocos do programu bo niby jest gwiazda polska z chodzi na psy przez polsatowych lapaczy gwiazd kochani niewysylajciesms do tego polsatu bo to sciema robia co chca nielicza sie z wami tylko kase z sms trzepia to jest wyludzanie kasy
gość,30.03.2019 01:28,"Zdecydowanie za późno, odpadali lepsi od niej"
Gość,29.03.2019 22:00,I tak długo wytrzymała.
Gość,29.03.2019 21:59,No w końcu...
Gość,29.03.2019 22:00,"Szkoda, koniec cotygodniowej dramy :D"
Gość,29.03.2019 22:00,No to czekamy jaki następny pomysł na siebie będzie miała ta Pani.
M,29.03.2019 22:00,Nareszcie. Widać że to nie była jej bajka zestresowana na Maxa.
fryc,30.03.2019 04:47,Zrozumiala ze do niczego sie nie nadaje.Czas wracac do domu i zajac sie dziecmi.Jest tempa w kazdej dziedzinie .
gość,30.03.2019 04:48,Szkoooda🙄🙄🙄😕😕😕😕
fryc,30.03.2019 04:49,Zrozumiala ze do niczego sie nie nadaje.Czas wracac do domu i zajac sie dziecmi.Jest tempa w kazdej dziedzinie .
Gość,30.03.2019 04:52,I do garów justynko dawno takiej żenady nie oglądałem.
przecież ,30.03.2019 05:04,trzeba być szczerym jak ktoś jest sztywny w tańcu to niby czemu mu lukrować Zawsze mówić tak jak jest
Gość,29.03.2019 22:00,I tak długo wytrzymała.
Gość,29.03.2019 21:59,No w końcu...
Gość,29.03.2019 22:00,"Szkoda, koniec cotygodniowej dramy :D"
Gość,29.03.2019 22:00,No to czekamy jaki następny pomysł na siebie będzie miała ta Pani.
M,29.03.2019 22:00,Nareszcie. Widać że to nie była jej bajka zestresowana na Maxa.
gość,30.03.2019 06:54,"tylko dla niej oglądałam ten program ! Dalej to będzie już tylko nuda, nuda i spadek oglądalności"
gość,30.03.2019 06:55,niech sprawdzą jak im spadnie oglądalność
gość,30.03.2019 06:55,"gość:gość: Na początku powinna odpaść nie nadawała się do tego programu trochę dla siebie samokrytykiGdyby odpadla na poczatku, to nie zobaczylibysmy jak sie nauczyla.A chyba na tym powinnien polegac ten program? Wczoraj tanczyla ladnie.mylicie choreografie z technika tańca ,Iwona ocenia technikę i tu było nadal fatalnie"
Gość,30.03.2019 06:57,Teraz tylko krowy dojc i w pole
Gość,30.03.2019 07:00,Wreszcie żenada roku odpadła
Gość,29.03.2019 22:00,I tak długo wytrzymała.
Gość,29.03.2019 21:59,No w końcu...
Gość,29.03.2019 22:00,"Szkoda, koniec cotygodniowej dramy :D"
Gość,29.03.2019 22:00,No to czekamy jaki następny pomysł na siebie będzie miała ta Pani.
M,29.03.2019 22:00,Nareszcie. Widać że to nie była jej bajka zestresowana na Maxa.
Autor vidmo,30.03.2019 08:12,At last!!!!!!!
gość,30.03.2019 08:12,"Pani Iwono dziękuję, że postąpiła Pani zgodnie ze swoja wiedzą i zasadami i nie przyczyniła się Pani do  kretaczenia aby gloryfikować tę   miernotę żyłowej. Całe szczęście, że żenada 2019 roku zakończona jupiiiii!"
Gość,30.03.2019 08:15,To już nie ma po co oglądać ;(
Gość,30.03.2019 08:15,"gość: Nie będziemy tęsknić za następnymi odcinkami TzG, bo nie będzie już p.Justyny i p.Tomka. Nie bedziemy oglądąć.. Czarna Mamba  powinna zniknąć z tego programu. Może wtedy wróci p.Malitowski. 
 Będziemy,  gdzie sie tylko da wspierać  duchowo p.Justynę. Trzymaj się dziewczyno !!! Nie oglądaj się wstecz, a na ataki żmijowego gniazda nie reaguj! Oni dostaną od życia zapłatę za to co Tobie zrobili. Ty ich nie krzywdziłaś - to oni Ciebie i dzieci. Rób swoje dla siebie i dzieci!!!Co za wariacki komentarz 😁😁"
Gość,30.03.2019 08:36,Justyna jest bardzo miła i kobieca aż dziwne że facet oddzedł.
Gość,29.03.2019 22:00,I tak długo wytrzymała.
Gość,29.03.2019 21:59,No w końcu...
Gość,29.03.2019 22:00,"Szkoda, koniec cotygodniowej dramy :D"
Gość,29.03.2019 22:00,No to czekamy jaki następny pomysł na siebie będzie miała ta Pani.
M,29.03.2019 22:00,Nareszcie. Widać że to nie była jej bajka zestresowana na Maxa.
Gość,30.03.2019 09:04,Mój komentarz jest 5 :DTo twój życiowy sukces?
gość,30.03.2019 09:05,Nareszcie!!!!
Gość,30.03.2019 09:06,gość: Kto głosuje na Kucnera?!Ja ;)
gość,30.03.2019 09:10,nie ogladam
gość,30.03.2019 09:11,"ona zupełnie nie umie tańczyć i sama się męczyła ,"
Gość,29.03.2019 22:00,I tak długo wytrzymała.
Gość,29.03.2019 21:59,No w końcu...
Gość,29.03.2019 22:00,"Szkoda, koniec cotygodniowej dramy :D"
Gość,29.03.2019 22:00,No to czekamy jaki następny pomysł na siebie będzie miała ta Pani.
M,29.03.2019 22:00,Nareszcie. Widać że to nie była jej bajka zestresowana na Maxa.
Gość,30.03.2019 09:52,Teraz oglądalność poleci na łeb :P
gość,30.03.2019 09:52,gość: Nie wiem dlaczego Justyna odpadła. jak tam inne osoby był do odpadniecia. UWZIELI SIE NA  NIEJ. Ten z ta kocicą  o wiele gorszy. Co tam robi ta Radwańska.Ja  juz nie ogladam tego To najbardziej niesprawiedliwy program . Ta Iwona powinna też spiepszać z niego. Ona nie jest sprawiedliwa.Jak moze być sprawiedliwy ktoś taki jak Iwona co rozwaliła swoje i cudze małżeństwo. Zakochana w sobie stara pu.....ca.
Madziaaa,30.03.2019 09:52,ja się zastanawiam czemu wogole ona została zaproszona do tego programu..  jako kto? była zona skoczka? a ja jestem żoną hydraulika i co może też tam zatańcze? 😅
gość,30.03.2019 09:54,"gość:gość:gość: Szkoda . Oglądać nie będę .Masz rację. Szkoda, bo byli gorsi od niej. Nie wróżyłam jej zwycięstwa, ale jeszcze ze dwa odcinki. Mamba się cieszy pewnie, że taka ""genialna"", ale przejedzie się, bo czeka ją koniec kariery w telewizji. Niech idzie do  swojej wsi, ćwiczyć seniorów, ale wątpię czy przybędzie jej chętnych. Wykazała się, że ma charakter macochy zakochanej w sobie!!A kto był gorszy od Justyny? We wszystkich edycjach nie było takiej tanecznej miernoty!Inne programy oglądaliśmy widocznie, albo słabe okularki miałaś."
Gość,30.03.2019 09:56,"Inaczej będzie tańczyć aktorprzygotowujacy się od dziecka.Balettaniec itp ,a inaczej gospodyni domowa.Ja tak chodziłam na język angielski dla początkujących, a ze mną ludzie uczący się języka w liceum i na studiach.
Efekt wiadomy."
